Game ID,Date,Home Team,Away Team,Outcome,home_points-per-game,home_true-shooting-percentage,home_offensive-rebounds-per-game,home_defensive-rebounds-per-game,home_steals-per-game,home_assist--per--turnover-ratio,home_personal-fouls-per-game,home_win-pct-all-games,away_points-per-game,away_true-shooting-percentage,away_offensive-rebounds-per-game,away_defensive-rebounds-per-game,away_steals-per-game,away_assist--per--turnover-ratio,away_personal-fouls-per-game,away_win-pct-all-games
97,10/31/22,Brooklyn Nets,Indiana Pacers,1,113.5,114.4,9.5,29.5,6.7,1.885,24.3,0.167,118.9,112.9,12.6,33.4,5.9,1.980,22.9,0.429
98,10/31/22,Toronto Raptors,Atlanta Hawks,1,104.8,108.9,9.8,32.8,9.3,1.972,21.2,0.500,117.2,114.2,10.2,33.5,7.7,2.157,21.7,0.667
99,10/31/22,Milwaukee Bucks,Detroit Pistons,1,113.4,110.1,12.4,39.2,6.8,1.779,20.2,1.000,112.3,108.2,12.7,32.0,5.4,1.667,22.9,0.286
100,10/31/22,Utah Jazz,Memphis Grizzlies,1,117.0,112.0,13.1,31.9,9.7,1.724,23.7,0.714,120.3,115.4,12.7,31.3,6.8,1.667,22.2,0.667
101,10/31/22,Los Angeles Clippers,Houston Rockets,1,100.7,109.4,8.2,37.0,6.5,1.181,18.8,0.333,109.9,105.4,14.9,32.3,6.9,1.261,22.4,0.143
102,11/01/22,Brooklyn Nets,Chicago Bulls,0,113.9,116.4,9.0,30.0,7.3,1.765,23.4,0.286,112.7,112.5,11.3,32.3,9.4,1.644,20.3,0.429
103,11/01/22,Miami Heat,Golden State Warriors,1,108.0,112.0,9.3,31.1,8.1,1.750,20.7,0.286,118.7,114.7,10.4,32.6,7.9,1.795,23.3,0.429
104,11/01/22,Oklahoma City Thunder,Orlando Magic,1,112.3,104.9,13.3,34.8,9.0,2.056,21.8,0.500,105.6,109.3,10.1,35.4,5.9,1.390,23.4,0.143
105,11/01/22,Phoenix Suns,Minnesota Timberwolves,1,118.7,117.5,11.3,32.2,7.8,2.225,22.5,0.833,115.1,110.4,12.4,36.6,8.6,1.728,20.1,0.571
106,11/02/22,Philadelphia 76ers,Washington Wizards,0,110.4,120.5,6.5,31.9,8.4,1.829,18.5,0.500,109.3,112.9,9.1,34.1,6.7,1.590,21.0,0.429
107,11/02/22,Cleveland Cavaliers,Boston Celtics,1,117.7,119.1,10.2,33.5,5.5,1.689,21.7,0.833,116.7,122.1,8.0,32.3,5.8,1.783,22.3,0.667
108,11/02/22,Miami Heat,Sacramento Kings,1,109.0,112.8,9.3,31.0,8.0,1.802,20.1,0.375,114.3,117.3,8.5,34.2,6.2,1.680,23.8,0.333
109,11/02/22,New York Knicks,Atlanta Hawks,0,117.8,109.9,14.0,35.8,6.3,1.877,24.0,0.500,116.0,114.1,9.7,33.0,6.7,2.034,22.4,0.571
110,11/02/22,Chicago Bulls,Charlotte Hornets,1,112.1,112.1,11.3,32.4,9.3,1.676,19.4,0.500,117.0,112.1,11.3,34.7,6.9,1.913,21.4,0.429
111,11/02/22,Houston Rockets,Los Angeles Clippers,0,107.8,104.0,13.9,32.9,7.1,1.246,21.6,0.125,99.9,108.0,8.1,37.1,6.6,1.235,18.7,0.429
112,11/02/22,Milwaukee Bucks,Detroit Pistons,1,112.8,109.9,12.7,38.7,6.5,1.679,20.3,1.000,111.8,107.9,12.8,31.8,5.9,1.657,23.0,0.250
113,11/02/22,San Antonio Spurs,Toronto Raptors,0,118.0,114.7,11.9,32.3,7.4,1.879,19.7,0.714,109.7,111.5,10.1,32.7,9.9,2.114,21.3,0.571
114,11/02/22,Dallas Mavericks,Utah Jazz,1,117.8,118.5,9.2,32.8,7.8,1.494,22.8,0.500,117.5,113.1,12.9,32.5,9.8,1.712,24.5,0.750
115,11/02/22,Portland Trail Blazers,Memphis Grizzlies,0,115.3,117.9,11.3,34.0,7.7,1.313,17.8,0.833,118.1,112.1,13.4,31.7,7.0,1.544,21.4,0.571
116,11/02/22,Los Angeles Lakers,New Orleans Pelicans,1,105.3,102.2,9.8,36.7,9.2,1.567,20.0,0.167,118.5,116.4,12.5,32.2,8.7,1.908,19.0,0.667
117,11/03/22,Orlando Magic,Golden State Warriors,1,105.9,109.6,10.4,35.6,6.0,1.272,22.3,0.125,117.5,115.1,10.4,32.4,7.9,1.758,23.1,0.375
118,11/03/22,Oklahoma City Thunder,Denver Nuggets,0,112.9,105.7,12.6,33.9,9.6,1.977,21.1,0.571,114.1,115.1,11.4,34.3,6.6,1.899,20.6,0.571
119,11/04/22,Detroit Pistons,Cleveland Cavaliers,0,109.4,107.7,11.6,31.9,6.0,1.527,22.9,0.222,117.1,116.4,10.0,34.7,5.6,1.743,21.9,0.857
120,11/04/22,Indiana Pacers,Miami Heat,1,117.6,112.7,12.3,32.8,6.5,1.784,23.0,0.375,109.1,113.1,9.2,31.7,7.7,1.861,20.1,0.444
121,11/04/22,Philadelphia 76ers,New York Knicks,0,110.4,120.3,6.4,31.2,7.8,1.920,19.2,0.444,115.1,108.5,13.7,36.4,5.9,1.786,23.3,0.429
122,11/04/22,Washington Wizards,Brooklyn Nets,0,110.8,115.0,8.9,34.4,6.4,1.717,20.6,0.500,112.0,116.7,8.4,30.5,6.9,1.724,23.0,0.250
123,11/04/22,Boston Celtics,Chicago Bulls,1,116.1,119.7,8.0,34.0,5.7,1.794,22.6,0.571,111.4,111.9,11.2,33.2,8.9,1.634,19.2,0.556
124,11/04/22,Memphis Grizzlies,Charlotte Hornets,1,117.3,112.6,13.0,32.3,7.0,1.585,21.1,0.625,113.4,109.2,11.5,34.6,7.5,1.826,20.5,0.375
125,11/04/22,San Antonio Spurs,Los Angeles Clippers,0,115.8,112.9,12.0,32.4,6.9,1.777,19.8,0.625,101.0,109.2,8.3,36.8,7.0,1.246,18.9,0.500
